Time (s),F7,Fp1,Fp2,F8,F3,Fz,F4,C3,Cz,P8,P7,Pz,P4,T3,P3,O1,O2,C4,T4,notes,Var Fp1
1,82295.5,20759,23516.5,22900.3,20345.9,22952.1,25563.4,29221.6,23583.5,20382.2,15738.6,24009.9,24651,26633.6,19861.3,25247.3,24675.8,28592,28687.1,,1.966
2,93308.2,14430.9,18079.8,26325.9,15652.8,16674.2,19647.5,17328,21207,19804.7,14476.9,15975.2,16525.4,12051,13920,15051.9,15137,24129,21700.4,,5.93
3,69108.4,40031,92381.6,34271.9,26741.3,34534.3,85662.9,30267.4,17476.2,14151.5,11036.2,19824.6,19717.4,10582.3,15124.9,26510.9,28796.6,13391,23506.2,,97.643
4,652994.1,77273.8,77723.1,39229.9,50999.4,59390.6,36008.6,17942.4,27319.7,12498.2,32174.7,15069.7,17799.3,21469.5,16248.3,12431.4,14041.3,29076.8,34813.9,,11.711
5,41596,274520.7,269260.3,68270.2,74238.9,102441.4,100942.1,30509.4,36612.8,37454,40392.5,32947.8,39351.4,21985.2,23615.1,32636.6,29033.5,41587,53429.1,,74.633
6,20735.9,34540.2,25666.3,14322.6,15963,22502.2,18364.9,13166.7,12194.2,15135.5,16390.1,30203.1,12571.2,7974.5,14586.3,17268.2,18447.8,15081.3,11586.8,,11.451
7,22211.7,182412,162388.9,37782.2,37988,54529.4,50310.8,17473,20263.1,20204.2,11057.6,22941.7,17869.7,10367,12635,16712.1,17171.7,24183.3,17174,,61.924
8,27006.6,73960.2,92008.5,27943,35524.8,65265.7,75403.6,15212.2,16086.3,18621.8,16698,15712.8,30626.6,19837.6,15342.5,18980.8,18945.7,14998.1,31006.3,,170.951
9,33766.6,230319,140657.4,37065.1,52502.3,65067.1,56784.6,34002.4,30360.7,21111,22887,25222.8,25954.6,24013.5,22271.3,24167.7,21901.2,27978.7,23087.4,,24.698
10,63734,52418.9,48056.7,22037.5,34300.6,26472,30485.9,36547.4,20290.1,13187.6,14938.1,12936.6,11974.5,10988.2,14421.8,17343.7,15430.7,26144.8,19334,,33.822
