Time (s),Var Fp1,F7,Fp1,Fp2,F8,F3,Fz,F4,C3,Cz,P8,P7,Pz,P4,T3,P3,O1,O2,C4,T4,A2,ExG 1,notes
1,1.146,14153.1,21310.6,24053.1,26708.0,19298.4,24482.1,27973.5,16509.1,27050.2,28850.3,11656.8,35335.9,34967.1,8354.3,17041.3,28567.5,39243.2,32111.2,28291.2,0.0,20103.5,
2,0.535,19139.0,25055.7,27905.6,25952.5,19032.4,25784.6,27672.2,21926.4,24847.0,18573.5,18213.1,24110.5,18249.7,18587.3,23410.1,20135.3,16841.3,25614.2,24917.7,0.0,24669.6,
3,0.627,21225.2,28427.2,26581.0,26134.9,26730.0,32297.8,28578.8,27694.2,29591.4,24082.6,26144.9,32138.0,23547.8,21532.2,29797.4,31996.2,26472.2,24979.3,22947.9,0.0,23934.2,
4,11.104,29604.0,334068.4,236152.0,40748.3,49790.6,56030.7,50334.3,17411.2,17602.9,18569.4,20622.0,18180.3,20255.0,14513.4,15083.4,17856.9,20782.7,22055.9,19529.6,0.0,23720.7,
5,0.387,12853.2,29404.6,26848.9,13049.4,18669.3,24537.3,23025.3,12358.5,21419.0,12395.6,9643.6,24707.1,15767.6,6900.4,11396.8,19841.0,23840.4,16173.4,11209.1,0.0,23456.9,
6,0.288,19902.1,17191.6,17274.5,14682.5,16937.0,19437.1,17741.3,20016.6,20799.9,19286.2,25505.5,24178.2,19824.1,20314.9,21085.9,24339.8,22213.7,19337.7,15522.1,0.0,42243.0,
7,1.438,42592.0,56507.7,64016.9,88659.9,46129.0,57039.6,60867.2,37162.7,51318.0,69451.5,22920.7,31560.4,46195.6,27668.1,27351.4,18707.0,28873.3,68162.5,92747.0,0.0,809800223.5,
8,1.231,38064.1,27943.8,23702.7,34043.4,27394.9,22708.1,19728.5,21264.2,18835.3,27407.5,15547.7,34366.9,28052.1,14805.0,20091.4,23022.4,37035.7,20799.8,23296.5,0.0,1383310284.6,
9,2.715,20856.2,59968.8,84011.2,89111.2,23936.0,35549.9,45115.3,16157.0,21613.8,29060.9,10640.2,26772.2,27438.8,9973.4,15169.9,15303.1,29258.1,33190.7,44338.5,0.0,680617390.0,
10,2.065,20525.0,72631.1,78415.3,50525.1,33866.2,51223.3,48479.2,26156.6,31745.6,30637.3,21462.5,35284.9,32709.2,15503.9,29313.1,38894.0,33412.9,42666.4,35714.4,0.0,4133625420.9,
11,1.028,41099.6,42912.6,37573.0,38685.5,29157.6,27601.1,27618.6,18742.4,21216.1,21776.5,8254.4,21699.6,17760.5,14386.1,13831.8,19240.0,22314.5,20824.1,24064.9,0.0,473693060.9,
12,1.09,5971.4,9836.8,9269.4,10050.4,7822.8,9742.1,10846.4,6225.5,10248.7,16670.9,5554.5,9456.0,12706.7,5224.9,5889.4,5981.1,10156.5,10999.1,14597.2,0.0,223305844.8,
13,0.158,10855.7,12888.0,12395.2,12055.7,12700.4,14116.5,13077.2,13555.1,15373.3,9782.1,9261.2,16796.9,10767.2,8582.0,11542.6,11286.9,13393.9,10165.5,11516.7,0.0,10088822.0,
14,0.217,5369.9,8275.9,10157.4,7436.6,9638.7,13114.3,13129.0,7565.9,17703.8,9614.0,5648.8,16815.6,10159.3,4491.5,10307.9,14831.8,16087.9,12896.7,6990.4,0.0,40839551.2,
15,2.046,14918.0,14295.9,14689.8,13299.3,15433.2,18218.5,17346.5,15351.1,19826.9,12665.5,17578.9,24229.3,20411.4,13683.5,19687.7,31168.7,23702.8,19049.9,13097.5,0.0,24586.8,
16,0.277,10747.6,9152.4,10958.3,13420.4,12490.5,12157.0,12169.8,11897.7,15334.5,18071.9,11730.7,21097.7,18789.8,11786.4,17343.7,13448.0,20703.5,14787.3,13809.8,0.0,10688.8,
17,0.237,5343.1,5526.9,3941.8,3799.7,6502.0,6918.2,6120.0,8864.0,6933.4,8331.3,9826.2,8701.3,7500.8,4885.7,9499.6,11898.0,14514.6,6879.0,4333.8,0.0,20484.5,
18,0.833,13726.6,18589.6,22239.1,24119.0,18727.5,22606.3,24127.6,15502.8,23331.1,29219.8,8630.6,18780.6,21605.5,11262.2,9666.5,15488.4,25246.0,23794.9,30782.8,0.0,24489.4,
19,0.335,15761.6,24601.3,27233.9,25038.9,25689.4,26854.3,24922.7,19182.0,32048.4,21965.5,10890.2,19598.4,23122.4,14182.0,13624.2,12424.5,18051.7,26520.8,22975.0,0.0,40916.8,
20,0.725,11081.8,17181.1,19415.2,23821.7,26604.0,25525.7,22905.3,20553.6,25832.8,17722.0,10406.4,22466.0,23969.6,10504.0,15465.3,15540.0,14323.4,43452.1,17009.6,0.0,14896.8,
21,0.351,7585.3,8409.1,8581.1,10487.3,8181.1,9328.3,10834.7,9183.1,13398.8,18047.6,7563.8,16405.1,22862.1,5659.2,10371.0,11527.4,23905.7,15404.4,11617.4,0.0,21643.1,
22,0.157,5389.2,6261.0,7445.8,6005.2,6518.5,6488.2,6016.8,5434.6,6273.3,4815.7,7362.8,9677.4,5886.1,5604.5,7949.7,16511.9,13434.0,4930.5,4455.5,0.0,16478.8,
23,0.146,5721.6,6848.3,7758.0,7374.0,5635.3,6579.0,7528.7,7802.3,9460.8,8878.1,21304.7,30196.4,16128.8,10421.3,20884.2,46588.1,19752.2,9266.2,11389.8,0.0,30866.7,
24,0.174,8552.5,13865.6,16977.9,16092.0,12408.1,16701.5,17017.8,9370.9,22593.6,18988.0,11167.2,26459.3,19135.3,8665.0,9005.4,17516.7,31702.8,16690.8,17131.9,0.0,35961.1,
25,0.249,17688.5,19002.5,21087.7,19793.5,17754.1,20974.8,21651.5,19133.8,21899.7,28874.3,16321.4,22749.0,22270.8,18244.0,21150.3,26253.8,21373.7,20149.7,23034.4,0.0,16976.2,
26,0.309,15338.9,16897.1,18419.0,18798.6,17738.7,19360.4,19411.4,18741.0,22846.0,21962.3,23437.7,26821.9,20820.4,17503.8,24773.6,38193.7,28284.4,20043.5,19979.3,0.0,15738.0,
27,0.504,21545.6,26393.7,29954.5,32679.9,25978.0,30571.1,33705.5,27609.9,38742.1,48473.2,34268.0,89777.2,54524.9,26406.9,44946.4,66196.5,49564.8,40599.8,47059.7,0.0,21718.6,
28,0.188,8910.5,9219.7,10774.5,11068.3,9712.2,10770.1,11627.3,10819.4,12447.9,27703.6,16957.8,13878.8,14875.7,13025.5,13861.4,20658.2,24758.0,12676.3,22361.6,0.0,34786.0,
29,0.193,7517.0,14033.3,16327.1,15425.2,12653.3,16618.4,17586.7,8088.9,14729.6,12562.7,5582.2,10495.0,11566.7,6460.4,7479.5,8582.4,13742.9,15244.7,15439.6,0.0,28699.9,
30,0.178,10968.7,9231.6,14443.2,17784.1,11777.4,12850.1,16403.6,17757.6,18098.1,29097.6,20899.4,26899.3,29891.0,20812.2,27787.4,22060.1,33731.5,18402.9,23482.6,0.0,28036.3,
31,0.256,25038.5,31545.7,36315.7,35299.4,31664.3,34771.8,36741.5,29464.6,36010.8,33472.5,27864.6,29228.1,32989.7,23909.5,26785.0,34217.1,31264.2,32652.8,36306.5,0.0,28541.8,
32,0.212,10637.2,12603.7,15221.7,18589.9,11940.2,14062.3,14944.0,12296.7,16256.6,26090.2,8311.3,19557.3,25575.7,7905.1,12355.2,11430.7,18443.6,19912.6,25484.3,0.0,24967.7,
33,0.185,13920.1,17076.2,18300.7,18122.5,18402.2,23468.5,23050.5,15624.3,23017.5,20233.5,15718.8,14637.6,18116.3,13806.4,10361.7,8724.8,17197.1,20853.5,16305.3,0.0,24129.1,
34,0.278,31202.9,33587.3,31617.4,28582.4,32467.5,35522.2,33203.3,30271.9,36084.1,34891.9,29955.4,34681.3,33979.5,29318.2,27249.0,29232.6,38483.2,34554.8,31786.9,0.0,75197.2,
35,0.193,11056.4,16098.8,18145.8,15688.3,16284.3,20246.2,20146.2,13949.7,17697.3,17217.7,10519.2,13030.6,15978.0,11616.8,14418.3,12045.2,9935.4,18064.5,19539.4,0.0,32720.9,
36,32.61,18946.1,131165.0,88398.7,36018.2,25149.1,33408.2,36221.4,12187.9,23735.4,17264.4,12446.8,15855.2,17284.0,12142.8,12220.0,12343.4,12596.5,25584.5,26234.3,0.0,17129.4,
37,1.029,27675.0,33090.4,34463.2,32844.4,33072.5,35302.5,33126.3,30423.9,38124.3,34903.1,21328.2,35623.9,34611.6,27759.6,29611.2,19925.9,32500.4,36939.5,37742.3,0.0,44369.8,
38,0.342,9277.8,11114.1,12202.4,11943.1,10892.4,13705.4,12670.7,10407.0,14895.2,13541.0,8917.7,18793.2,16110.3,6041.7,11729.2,14302.3,12610.4,12464.2,10357.8,0.0,37812.8,
39,0.317,12196.8,14074.6,13785.0,17656.5,13794.6,14235.8,13479.0,14565.0,14009.2,21651.4,11679.1,13490.0,16827.4,12282.1,13600.8,10214.4,16707.5,17362.7,24237.9,0.0,15929.5,
