Time (s),Var Fp1,F7,Fp1,Fp2,F8,F3,Fz,F4,C3,Cz,P8,P7,Pz,P4,T3,P3,O1,O2,C4,T4,A2,ExG 1,notes
1,3.069,16825.5,37937.0,50560.2,50363.3,26738.0,35984.2,37235.9,19032.8,35533.1,37984.6,16880.5,36331.4,39301.9,14904.1,24009.9,31244.0,43488.3,37366.2,40977.5,0.0,30442.2,
2,10.674,8610.7,48952.3,19798.8,23679.1,14879.6,21324.9,22346.2,15940.0,24211.4,26588.4,11611.9,27583.8,23169.6,11332.4,17172.0,16122.9,23557.8,25743.4,29202.0,0.0,10857548.9,
3,6.877,22742.9,40108.8,25869.2,28312.4,27821.7,31164.4,26367.2,22770.9,24082.6,21783.4,11367.6,18365.2,21246.8,15757.3,15660.9,10601.7,16902.2,25420.4,27661.0,0.0,37183201.3,
4,1.717,17791.6,16736.1,12733.7,15445.4,15749.8,13888.4,15636.5,20755.3,20737.0,13747.4,26035.5,38020.0,14487.7,19395.7,29728.1,29773.0,14159.6,13144.5,14418.2,0.0,4456923.2,
5,2.111,9567.7,11327.4,14911.9,15894.0,10943.4,14408.8,13951.6,13705.3,14766.2,20521.0,9457.1,12358.0,12469.9,9162.7,11438.0,13181.4,13786.0,16114.2,22442.6,0.0,364469.5,
6,3.469,9447.8,14371.6,17041.0,18768.0,12386.2,14414.1,12930.6,11560.7,14646.4,18098.0,8970.2,13573.4,14494.7,7510.2,9392.9,8249.9,14246.0,11928.0,16010.6,0.0,352687.9,
7,12.992,14539.0,66135.4,34632.5,39042.3,21856.8,28242.2,27797.1,17769.9,28956.1,23494.8,14763.0,19557.2,21895.6,15445.8,17414.0,14381.2,14837.0,27271.9,28920.9,0.0,34771958.7,
8,4.335,94038.2,256601.5,217301.4,111207.4,57273.1,57680.6,74900.6,27824.1,30388.4,26607.9,12361.3,26512.8,30390.8,12640.7,18619.4,18679.7,28216.1,42361.9,46045.9,0.0,90708573.0,
9,0.855,67234.3,69483.7,91148.5,84317.2,57406.4,74650.2,71673.9,55860.0,60715.8,48761.8,49428.5,49334.1,51221.6,57311.6,54545.0,58437.7,43219.0,62246.6,60781.4,0.0,1731140.8,
10,0.96,19955.9,24718.2,24362.1,23126.8,23186.5,21335.9,22813.2,22616.0,31246.7,24443.4,17827.2,27889.0,29124.1,20646.5,20033.2,20440.5,26838.7,28488.5,26498.8,0.0,30828.1,
11,2.022,16900.7,19037.2,21736.8,19731.6,18605.8,19002.7,20135.6,16556.9,24259.3,24608.8,20087.6,34449.2,28255.1,19339.3,21038.5,26605.2,28746.6,23103.5,20089.3,0.0,26986.6,
12,0.387,6613.3,8984.4,8323.8,7298.1,10810.0,11435.0,9066.6,9312.6,11303.8,12657.4,10995.6,10736.2,11324.0,9986.3,11012.4,14403.3,9960.7,8260.0,13513.4,0.0,1624200.3,
13,9.655,12216.7,17891.3,16906.3,9350.8,12939.1,11970.8,11183.9,12649.8,13287.2,4927.2,7481.3,12317.2,10601.9,7991.1,10411.4,8943.9,8318.2,9766.1,7427.2,0.0,209496163.8,
14,0.57,10458.3,11683.3,11549.4,11574.9,11583.6,10123.8,10438.9,11142.3,13670.2,9887.9,7628.5,9367.1,10259.6,9257.7,8138.4,11231.4,8847.4,10608.9,9998.3,0.0,2764594.0,
