Time (s),Var Fp1,F7,Fp1,Fp2,F8,F3,Fz,F4,C3,Cz,P8,P7,Pz,P4,T3,P3,O1,O2,C4,T4,A2,ExG 1,notes
1,2.914,6212.4,5816.2,10896.4,11588.5,7461.5,7994.9,10559.5,7370.4,9884.9,12178.1,8601.3,13481.5,11656.5,3397.5,38074.3,11338.2,14672.9,11333.2,12404.8,0.0,272640481.0,
2,2.742,6467.6,10419.4,13477.3,15304.9,12797.5,15803.3,16440.8,8716.9,12346.9,12688.7,13407.8,7253.6,12388.3,6148.6,493319.4,10550.6,10815.5,15765.1,16053.0,0.0,287839126.6,
3,3.455,7834.7,13680.1,12914.3,15074.4,10259.6,14474.1,16359.8,6620.9,15581.5,20162.1,3471.6,13048.9,15844.1,5671.4,127090.4,4324.5,15353.2,16342.4,19893.5,0.0,254197014.7,
4,2.216,17437.1,19512.8,23239.2,27401.9,19824.7,20543.0,21440.6,22972.5,24310.5,22695.5,25783.6,30762.5,25328.9,20507.5,191140.8,25423.0,27223.2,23144.8,27427.0,0.0,212043875.6,
5,2.499,10440.7,12360.3,16935.4,19909.3,12848.5,14821.3,14834.8,10428.7,15438.1,18633.9,8316.2,12027.5,14594.1,7819.6,27471.4,6148.3,11327.5,16498.6,22579.6,0.0,209693732.8,
6,1.979,8353.3,10676.3,16066.9,17442.3,9597.2,11440.2,15165.8,7668.0,10526.8,14342.8,7794.2,10501.5,11028.7,6167.2,62652.4,10004.9,12056.2,14245.6,18860.0,0.0,181601568.9,
7,2.986,11898.3,15012.3,24965.9,24270.3,16496.1,19796.6,25386.8,15334.4,22089.4,27555.2,14149.9,34261.6,29640.7,10779.9,42800.4,24674.6,38860.4,26992.1,26558.5,0.0,181185134.4,
8,2.69,10330.9,10513.4,13267.4,15963.0,11745.4,13721.4,17305.1,213891.2,17907.9,26459.8,16624.3,21133.3,21058.8,11162.7,17290.6,17118.1,22948.5,25569.5,29526.5,0.0,687587617.6,
9,2.833,44363.0,190313.3,250274.2,115754.7,76766.9,100825.4,110539.2,42484.9,62849.7,46669.8,29358.3,54607.9,53662.0,28647.4,56775.6,33137.0,33341.6,72663.3,62597.9,0.0,2209052675.3,
10,3.797,9362.9,8806.1,38105.7,38180.3,8690.2,13952.1,21576.8,1065258.9,13140.6,22111.7,15899.6,27670.5,21514.4,6515.4,1146082.8,18821.9,20414.9,23258.4,23324.2,0.0,3228324996.7,
11,1.171,18091.9,18348.9,23531.7,21381.3,21461.2,20848.6,23091.0,1320921.6,24497.1,20568.5,16713.2,20348.7,19405.0,16112.2,689752.6,23992.3,24261.0,28159.2,19500.1,0.0,24270378650.2,
12,0.581,9858.8,11677.5,13029.9,15026.8,15023.8,14368.6,17333.1,223120.3,16435.6,16156.1,16116.0,15345.4,13579.9,11041.7,60086.8,27983.3,19910.3,18350.5,21700.6,0.0,32363381737.8,
13,1.487,28514.1,49120.5,33163.8,38921.1,32789.0,32740.5,34249.4,25980.2,33505.9,51384.7,16823.1,24369.1,34272.0,10559.2,61402.8,20890.5,28322.4,47359.6,55054.8,0.0,2634653619.9,
14,5.857,54261.3,51899.0,56959.8,57744.4,58298.4,53835.9,55733.5,52311.2,42111.1,49413.8,43896.4,42497.9,47459.8,41779.0,78185.7,40832.8,48068.2,32903.1,55676.0,0.0,730178324.8,
15,16.87,10824.1,12106.0,22409.6,19698.4,9814.9,12359.5,15117.0,25045.1,20979.5,19903.0,12510.2,14632.5,15777.5,6761.8,26875.5,10208.2,15112.6,16407.9,22980.3,0.0,28565.8,
16,17.712,8807.7,9735.2,13839.3,15232.2,12528.3,13391.9,17772.6,15368.1,20471.4,14805.9,12222.6,15715.7,16203.6,13685.3,18545.8,14692.3,13694.0,17964.3,15788.6,0.0,26699.7,
17,16.058,8062.4,7414.7,6583.7,8765.5,8765.3,8714.1,8434.6,12488.5,13620.5,17615.6,8417.7,8011.7,12416.6,9767.4,101243.2,8032.5,11246.3,12330.2,17717.8,0.0,599034.7,
18,15.686,8443.3,8297.8,9986.2,7666.5,10794.9,11323.9,10540.5,12107.3,15411.3,12488.1,9942.6,16061.4,12992.9,7980.5,33422.9,10930.7,11769.7,9740.4,10133.8,0.0,23802194.2,
