Aug23_Fruition_1,Aug23_Fruition_2,Aug23_Fruition_3,Aug23_Fruition_4,Aug23_Fruition_5,Aug23_Fruition_6,Aug23_Fruition_7,Aug23_Fruition_8,Aug23_Fruition_9,Aug23_Fruition_10,Aug23_Fruition_11,Aug23_Fruition_12,Aug23_Fruition_13,Sept1_Fruition_1,Sept1_Fruition_2,Sept1_Fruition_3,Sept1_Fruition_4,Sept1_Fruition_5,Sept1_Fruition_6,Sept1_Fruition_7,Sept1_Fruition_8,Sept1_Fruition_9,Sept1_Fruition_10,Aug30_Fruition_1,Aug30_Fruition_2,Aug30_Fruition_3,Aug30_Fruition_4,Aug30_Fruition_5,Aug30_Fruition_6,Aug30_Fruition_7,Aug30_Fruition_8,Aug30_Fruition_9,Aug30_Fruition_10,Aug30_Fruition_11,Aug30_Fruition_12,Sept5_Fruition_1,Sept5_Fruition_2,Sept5_Fruition_3,Sept5_Fruition_4,Sept5_Fruition_5,Sept5_Fruition_6,Sept5_Fruition_7,Sept5_Fruition_8,Sept5_Fruition_9,Sept2_Fruition_1,Sept2_Fruition_2,Sept2_Fruition_3,Sept2_Fruition_4,Sept2_Fruition_5,Sept2_Fruition_6,Sept2_Fruition_7,Sept2_Fruition_8,Sept2_Fruition_9,Sept2_Fruition_10,Aug28_1_Fruition_1,Aug28_1_Fruition_2,Aug20_Fruition_1,Aug20_Fruition_2,Aug20_Fruition_3,Aug20_Fruition_4,Aug20_Fruition_5,Aug20_Fruition_6,Aug20_Fruition_7,Aug20_Fruition_8,Aug31_Fruition_1,Aug31_Fruition_2,Aug31_Fruition_3,Aug31_Fruition_4,Aug31_Fruition_5,Aug31_Fruition_6,Aug31_Fruition_7,Aug31_Fruition_8,Sept8_Fruition_1,Sept8_Fruition_2,Sept8_Fruition_3,Sept8_Fruition_4,Sept8_Fruition_5,Sept8_Fruition_6,Sept8_Fruition_7,Sept8_Fruition_8,Sept8_Fruition_9,Sept8_Fruition_10,Sept8_Fruition_11,Sept8_Fruition_12,Sept8_Fruition_13,Sept8_Fruition_14,Sept8_Fruition_15,Aug28_2_Fruition_1,Aug28_2_Fruition_2,Aug28_2_Fruition_3,Aug28_2_Fruition_4,Aug28_2_Fruition_5,Aug28_2_Fruition_6,Aug28_2_Fruition_7,Aug22_Fruition_1,Aug22_Fruition_2,Aug22_Fruition_3,Aug22_Fruition_4,Aug22_Fruition_5,Aug22_Fruition_6,Aug22_Fruition_7,Aug22_Fruition_8,Aug22_Fruition_9,Aug22_Fruition_10,Aug22_Fruition_11,Sept9_Fruition_1,Sept9_Fruition_2,Sept9_Fruition_3,Sept9_Fruition_4,Sept9_Fruition_5,Sept9_Fruition_6,Sept9_Fruition_7,Sept6_Fruition_1,Sept6_Fruition_2,Sept6_Fruition_3,Sept6_Fruition_4,Sept6_Fruition_5,Sept6_Fruition_6,Sept6_Fruition_7,Sept6_Fruition_8,Sept6_Fruition_9,Sept6_Fruition_10,Sept6_Fruition_11,Sept6_Fruition_12,Sept6_Fruition_13
23052.0,64684.0,26676.0,43682.0,15183.0,35626.0,28734.0,38978.0,23034.0,19134.0,17547.0,45907.0,25096.0,22046.0,16052.0,15053.0,44902.0,26141.0,40140.0,29633.0,44646.0,15707.0,32591.0,15316.0,11268.0,29458.0,25065.0,39878.0,20389.0,8854.0,50148.0,10759.0,51278.0,45752.0,26400.0,11887.0,78904.0,53601.0,12058.0,54194.0,11527.0,12463.0,21120.0,15229.0,46292.0,33406.0,49405.0,22745.0,38764.0,15672.0,67570.0,30433.0,79455.0,20413.0,41998.0,8137.0,18773.0,52336.0,54474.0,49080.0,26221.0,12769.0,19119.0,16979.0,20585.0,24520.0,19709.0,33564.0,12684.0,18603.0,18391.0,18568.0,19496.0,16463.0,35105.0,35661.0,11466.0,59330.0,11950.0,28189.0,14392.0,23755.0,22494.0,15949.0,18907.0,25441.0,31524.0,32908.0,31173.0,14687.0,25628.0,23544.0,40955.0,29595.0,53147.0,51504.0,73313.0,23031.0,13560.0,33295.0,57369.0,38176.0,60744.0,39932.0,63504.0,50239.0,49297.0,30265.0,28108.0,21365.0,12626.0,6070.0,11271.0,8344.0,32669.0,11308.0,50339.0,13701.0,27775.0,15836.0,12926.0,7447.0,15411.0,18507.0,36508.0
45796.0,65366.0,16594.0,33122.0,12786.0,45924.0,43408.0,57987.0,16800.0,27095.0,13062.0,31569.0,20111.0,33971.0,35959.0,14495.0,44784.0,17683.0,20079.0,41352.0,21285.0,9786.0,14320.0,10447.0,9631.0,34154.0,33539.0,33067.0,48484.0,12417.0,10832.0,12824.0,34437.0,59079.0,38067.0,33843.0,31515.0,58493.0,16436.0,22583.0,13570.0,19451.0,14104.0,26551.0,69488.0,25943.0,47442.0,24675.0,29709.0,27264.0,42972.0,43763.0,38855.0,12265.0,12425.0,20570.0,32825.0,50586.0,46221.0,26531.0,61015.0,15328.0,14055.0,19465.0,37540.0,30300.0,9258.0,7330.0,14808.0,22371.0,13046.0,8931.0,14506.0,16672.0,43376.0,33850.0,16550.0,49800.0,20292.0,56938.0,24030.0,29152.0,13136.0,22053.0,9170.0,7671.0,12805.0,39582.0,62482.0,16990.0,24783.0,30079.0,79282.0,35065.0,62580.0,111576.0,69050.0,23652.0,12909.0,13540.0,42708.0,25578.0,47595.0,32962.0,86011.0,20892.0,20437.0,30658.0,29632.0,41956.0,17669.0,22995.0,21502.0,19006.0,37266.0,18979.0,25005.0,26613.0,50458.0,9252.0,8246.0,11413.0,14685.0,14814.0,17617.0
34932.0,41958.0,21021.0,36013.0,7596.0,27802.0,44763.0,48876.0,14065.0,33987.0,27602.0,38915.0,35593.0,27760.0,42754.0,25776.0,49955.0,23454.0,28804.0,31183.0,14130.0,50624.0,30107.0,19576.0,9118.0,23775.0,51450.0,23819.0,38302.0,14927.0,17289.0,8708.0,26740.0,60238.0,20844.0,50945.0,60525.0,37695.0,27003.0,45646.0,21449.0,16510.0,10412.0,16315.0,61936.0,22323.0,39677.0,32942.0,29939.0,36274.0,43195.0,36643.0,38732.0,32111.0,18683.0,17691.0,25868.0,38044.0,24498.0,20524.0,38345.0,20442.0,37122.0,20103.0,24178.0,54618.0,13077.0,9948.0,23772.0,36690.0,22200.0,31740.0,18795.0,12198.0,25316.0,39641.0,26992.0,36120.0,16483.0,41229.0,15025.0,18319.0,11012.0,34266.0,18402.0,16309.0,9998.0,29141.0,42230.0,11150.0,45474.0,22010.0,29660.0,45586.0,26886.0,54623.0,44149.0,25537.0,10561.0,10101.0,34428.0,19081.0,46414.0,23329.0,75675.0,20045.0,18976.0,25991.0,44724.0,51876.0,33834.0,49894.0,34819.0,18279.0,24567.0,17896.0,15554.0,16308.0,42357.0,12653.0,9747.0,9710.0,27707.0,16740.0,23376.0
43168.0,96211.0,15490.0,34186.0,19982.0,40015.0,48394.0,56414.0,9941.0,19693.0,19706.0,17770.0,37487.0,20327.0,55281.0,35832.0,27702.0,37796.0,13726.0,34941.0,12169.0,18575.0,12399.0,16501.0,19581.0,49166.0,26287.0,33065.0,17936.0,12223.0,8343.0,30182.0,26975.0,30559.0,15013.0,10161.0,27788.0,26260.0,18115.0,40850.0,19232.0,17077.0,21191.0,32759.0,40683.0,23488.0,65583.0,25301.0,29601.0,17250.0,27482.0,56693.0,48421.0,50560.0,18514.0,12617.0,39920.0,34098.0,30416.0,22558.0,32684.0,32098.0,16187.0,28512.0,63994.0,19268.0,25927.0,18965.0,7692.0,13712.0,22299.0,13598.0,21929.0,13316.0,20040.0,55655.0,31448.0,28193.0,12285.0,23812.0,11138.0,21378.0,12132.0,28125.0,44386.0,18330.0,23090.0,67995.0,54333.0,16135.0,22275.0,21788.0,24057.0,45221.0,30331.0,23058.0,30291.0,66707.0,16253.0,9571.0,15922.0,24495.0,12347.0,10771.0,66485.0,11007.0,26654.0,61550.0,13508.0,70580.0,45469.0,21366.0,11718.0,42825.0,40607.0,28626.0,20791.0,10218.0,13127.0,18244.0,34874.0,13322.0,22722.0,10548.0,30301.0
9395.0,24281.0,23766.0,16442.0,13806.0,33638.0,50354.0,58811.0,9427.0,26977.0,10383.0,27368.0,38515.0,39586.0,20203.0,11730.0,41918.0,23566.0,13415.0,71072.0,11938.0,32121.0,24072.0,25913.0,23275.0,45281.0,26429.0,58556.0,18718.0,20958.0,30136.0,33205.0,23749.0,28446.0,18349.0,21494.0,29422.0,18250.0,12358.0,36307.0,31471.0,20053.0,19812.0,31242.0,82024.0,17015.0,28268.0,22187.0,12518.0,47942.0,12337.0,80352.0,50429.0,47396.0,22330.0,14998.0,31710.0,36719.0,26034.0,38410.0,50668.0,26063.0,13574.0,25119.0,49014.0,22335.0,10066.0,13064.0,21480.0,10736.0,17407.0,11698.0,28384.0,13461.0,34364.0,39168.0,24421.0,24547.0,24865.0,12108.0,10079.0,21473.0,17981.0,14418.0,22614.0,69337.0,14564.0,42362.0,47618.0,22565.0,40074.0,27713.0,31594.0,34182.0,29864.0,15098.0,52778.0,53028.0,15187.0,38520.0,16666.0,56884.0,18357.0,5538.0,50433.0,11703.0,30234.0,82381.0,15928.0,48404.0,53795.0,16656.0,13997.0,15879.0,24794.0,16826.0,16291.0,11107.0,18059.0,11607.0,18390.0,38811.0,52506.0,7918.0,46298.0
13824.0,59835.0,17070.0,18871.0,9853.0,15778.0,32274.0,35005.0,20430.0,21745.0,9949.0,25672.0,43932.0,30742.0,52112.0,14658.0,28489.0,32155.0,15611.0,25371.0,17998.0,50323.0,26345.0,16530.0,27960.0,27808.0,29129.0,27754.0,18361.0,20138.0,12147.0,21664.0,53734.0,24369.0,23222.0,35607.0,32337.0,22585.0,28151.0,14292.0,23801.0,19248.0,20993.0,27103.0,61866.0,16512.0,39336.0,18761.0,9591.0,18471.0,15883.0,66942.0,57661.0,20309.0,15902.0,14644.0,38851.0,87534.0,51202.0,34211.0,54791.0,56269.0,12821.0,33869.0,35312.0,23749.0,11167.0,14560.0,14799.0,22893.0,10560.0,22639.0,14479.0,26354.0,49987.0,36830.0,23539.0,49959.0,24019.0,40924.0,9958.0,36178.0,11513.0,40121.0,9739.0,49000.0,10215.0,42235.0,59229.0,16875.0,26511.0,22716.0,17189.0,32986.0,40427.0,31769.0,53602.0,48413.0,27302.0,14811.0,12640.0,44956.0,18699.0,20623.0,66340.0,18893.0,30976.0,46250.0,16643.0,46983.0,39879.0,12711.0,16959.0,21030.0,34650.0,10553.0,36977.0,12232.0,11839.0,11361.0,40231.0,42987.0,18738.0,9585.0,19833.0
10923.0,67104.0,11967.0,26680.0,13086.0,23624.0,57806.0,26523.0,21648.0,32133.0,24139.0,30572.0,36746.0,47249.0,41814.0,42311.0,16086.0,29865.0,22765.0,26977.0,37954.0,37365.0,45759.0,19431.0,8749.0,13037.0,25946.0,29634.0,30030.0,21945.0,24914.0,20726.0,25722.0,28306.0,34504.0,58063.0,10216.0,24350.0,17215.0,23616.0,16874.0,21441.0,22112.0,11894.0,33311.0,12906.0,52647.0,24578.0,36183.0,12879.0,18010.0,40162.0,39947.0,21492.0,21156.0,18790.0,44628.0,49585.0,31083.0,40348.0,30937.0,32035.0,11191.0,23449.0,26442.0,14697.0,26142.0,12600.0,25126.0,7292.0,23129.0,13151.0,30987.0,13285.0,59143.0,60683.0,49079.0,51388.0,53556.0,54950.0,5815.0,30927.0,15551.0,78254.0,8314.0,21558.0,20799.0,28892.0,50575.0,30723.0,17249.0,20222.0,17328.0,28937.0,13853.0,21115.0,72126.0,37835.0,20766.0,13280.0,24294.0,21738.0,69652.0,44240.0,75939.0,12748.0,52560.0,53648.0,9318.0,36471.0,21864.0,19132.0,19287.0,25876.0,34195.0,12153.0,17013.0,8530.0,16041.0,11410.0,30652.0,20161.0,23382.0,16634.0,26349.0
20417.0,101176.0,19790.0,25210.0,17535.0,13371.0,50200.0,26128.0,13854.0,19379.0,25183.0,23028.0,25462.0,24077.0,47401.0,19895.0,24737.0,24105.0,22814.0,22109.0,22179.0,40093.0,32245.0,17757.0,28763.0,18891.0,18360.0,22576.0,27035.0,12489.0,8349.0,39414.0,21955.0,33959.0,20573.0,48353.0,19921.0,10793.0,28372.0,40842.0,23668.0,18561.0,16589.0,16318.0,29411.0,33594.0,48488.0,24809.0,23172.0,26266.0,21442.0,53540.0,35106.0,24374.0,17307.0,28759.0,59459.0,74083.0,28474.0,17869.0,32487.0,26570.0,42752.0,30988.0,29504.0,17805.0,24448.0,18260.0,15206.0,8659.0,22338.0,20374.0,29733.0,22542.0,46765.0,28476.0,10138.0,34728.0,12362.0,26836.0,14939.0,82344.0,18869.0,76721.0,10867.0,15217.0,21505.0,45382.0,27965.0,15584.0,17168.0,16240.0,27950.0,26429.0,24867.0,28570.0,39404.0,30523.0,16282.0,15535.0,14846.0,25497.0,43061.0,35973.0,73196.0,21474.0,31724.0,70587.0,40259.0,15130.0,46396.0,13634.0,13235.0,61384.0,64751.0,27027.0,23538.0,20026.0,27889.0,8113.0,55362.0,8912.0,24696.0,8812.0,49771.0
31225.0,57438.0,45472.0,16225.0,8788.0,19970.0,37435.0,32120.0,8794.0,25801.0,18822.0,48127.0,16236.0,26298.0,22455.0,11209.0,39344.0,16564.0,31373.0,26637.0,20284.0,37251.0,32825.0,12136.0,14837.0,30655.0,10103.0,45110.0,31922.0,17458.0,15684.0,25925.0,21473.0,17422.0,21269.0,15331.0,27797.0,10042.0,19025.0,21336.0,18783.0,64909.0,21448.0,24107.0,65139.0,24281.0,34046.0,16285.0,22092.0,14975.0,33650.0,42693.0,18297.0,17287.0,11817.0,24288.0,84255.0,29643.0,21709.0,24706.0,24564.0,23782.0,57689.0,37863.0,13864.0,19741.0,14037.0,26702.0,11201.0,19037.0,16279.0,22142.0,34154.0,46521.0,17655.0,31977.0,57737.0,27445.0,11614.0,19572.0,19154.0,36521.0,14841.0,50983.0,11334.0,10112.0,11444.0,19195.0,47699.0,16808.0,26791.0,22282.0,26246.0,23252.0,21283.0,30972.0,27497.0,30129.0,32902.0,11201.0,17328.0,25153.0,31883.0,19484.0,65080.0,16372.0,35140.0,56303.0,54619.0,36899.0,65090.0,26387.0,28618.0,38332.0,55346.0,16970.0,43660.0,27675.0,32860.0,277984.0,29945.0,13173.0,29089.0,10344.0,49873.0
35915.0,60856.0,54705.0,50699.0,15273.0,19205.0,38256.0,39691.0,11096.0,11884.0,36023.0,28083.0,37964.0,22521.0,66589.0,10739.0,54179.0,19951.0,46317.0,22765.0,54013.0,46693.0,25220.0,23227.0,15934.0,15698.0,10672.0,29498.0,24063.0,22014.0,19556.0,51506.0,22756.0,42124.0,24029.0,14192.0,29607.0,18533.0,13988.0,9334.0,20158.0,21836.0,11194.0,30991.0,44534.0,31523.0,20428.0,28746.0,26337.0,41528.0,30376.0,49036.0,31910.0,11988.0,20832.0,11415.0,73944.0,48338.0,44526.0,46219.0,29616.0,43913.0,13990.0,47894.0,10345.0,23719.0,21068.0,33344.0,10040.0,12611.0,32099.0,18855.0,30604.0,11160.0,30458.0,33058.0,6941.0,25863.0,25030.0,29590.0,13483.0,49825.0,32741.0,42411.0,36904.0,20638.0,38168.0,36354.0,47912.0,11413.0,18350.0,16922.0,24479.0,50724.0,16161.0,17170.0,33699.0,43194.0,20239.0,15768.0,8734.0,51570.0,47474.0,19817.0,50857.0,18591.0,50315.0,89864.0,47646.0,47524.0,38136.0,37811.0,22028.0,22060.0,39179.0,14887.0,21595.0,17138.0,24276.0,3568117.0,21197.0,14047.0,19341.0,14066.0,56540.0
27798.0,20518.0,19447.0,19620.0,18427.0,17038.0,37901.0,39207.0,9067.0,15542.0,36574.0,18392.0,23909.0,18003.0,65861.0,21237.0,43650.0,39797.0,32193.0,29220.0,54379.0,69181.0,19911.0,7999.0,20850.0,13059.0,24707.0,45703.0,29947.0,14856.0,25932.0,52741.0,26233.0,26635.0,23250.0,15462.0,32217.0,44063.0,13067.0,9803.0,21865.0,9306.0,12048.0,21812.0,64806.0,21276.0,20364.0,30620.0,12347.0,47956.0,71802.0,39370.0,23572.0,20410.0,9912.0,14019.0,51551.0,29304.0,40061.0,40482.0,33191.0,40204.0,15297.0,13153.0,12240.0,16901.0,58890.0,30931.0,30924.0,14240.0,16233.0,16637.0,27062.0,16879.0,27794.0,29865.0,18318.0,31044.0,34855.0,20993.0,17481.0,21112.0,9437.0,38931.0,34271.0,14300.0,10526.0,53183.0,45470.0,11193.0,19425.0,35563.0,40188.0,23638.0,18096.0,36879.0,45620.0,44687.0,12659.0,10445.0,13448.0,33292.0,18721.0,48986.0,90991.0,9822.0,36976.0,49152.0,41798.0,61999.0,25278.0,34073.0,12072.0,8763.0,36105.0,19561.0,19429.0,16356.0,18515.0,1346495.0,22066.0,18235.0,20648.0,14346.0,38758.0
24638.0,56129.0,25646.0,20107.0,11434.0,13807.0,21991.0,30224.0,8818.0,10189.0,45739.0,23923.0,11202.0,16365.0,27019.0,10403.0,38677.0,38188.0,51535.0,23646.0,49220.0,19406.0,17156.0,9338.0,24426.0,13832.0,18363.0,24168.0,41810.0,12519.0,12374.0,55939.0,14586.0,19591.0,33023.0,24572.0,15544.0,33885.0,9642.0,22508.0,23467.0,16568.0,15663.0,16336.0,22600.0,22606.0,50088.0,31151.0,32101.0,41612.0,48825.0,23599.0,17983.0,39646.0,20350.0,13039.0,81445.0,57094.0,38772.0,28979.0,45272.0,32824.0,15632.0,17275.0,15779.0,35154.0,36672.0,27059.0,14221.0,9506.0,13831.0,17602.0,11155.0,25409.0,27062.0,16175.0,23332.0,16235.0,55032.0,61998.0,12551.0,40000.0,21339.0,29287.0,49438.0,35898.0,24944.0,20138.0,19071.0,9417.0,23999.0,43440.0,58008.0,19265.0,21240.0,12975.0,47001.0,58066.0,20794.0,24110.0,9265.0,22361.0,16047.0,26702.0,44129.0,14928.0,24838.0,51422.0,24817.0,34536.0,23798.0,50889.0,11619.0,12739.0,68271.0,8735.0,10453.0,18254.0,20638.0,590159.0,19982.0,29870.0,37699.0,16782.0,34589.0
